[2025-02-12 10:36:45] 트래커 초기화 완료
[2025-02-12 10:36:54] 트래커 초기화 완료
[2025-02-12 10:36:54] ROI 선택됨: (440, 202, 36, 36)
[2025-02-12 10:36:54] MOSSE 추적 실패: 타겟 재탐색 중
[2025-02-12 10:36:56] 트래커 초기화 완료
[2025-02-12 10:36:56] ROI 선택됨: (437, 200, 53, 37)
[2025-02-12 10:37:00] 미사일 위치: [640, 241], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -3.2, 'right': 3.2}
[2025-02-12 10:37:00] 미사일 위치: [640, 244], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -3.2, 'right': 3.2}
[2025-02-12 10:37:00] 미사일 위치: [640, 247], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -3.3000000000000003, 'right': 3.3000000000000003}
[2025-02-12 10:37:00] 미사일 위치: [640, 250], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.5, 'right': 3.5}
[2025-02-12 10:37:00] 미사일 위치: [640, 253], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -3.4000000000000004, 'right': 3.4000000000000004}
[2025-02-12 10:37:00] 미사일 위치: [640, 256], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.6, 'right': 3.6}
[2025-02-12 10:37:00] 미사일 위치: [640, 259], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -3.5, 'right': 3.5}
[2025-02-12 10:37:00] 미사일 위치: [640, 262], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -3.8000000000000003, 'right': 3.8000000000000003}
[2025-02-12 10:37:00] 미사일 위치: [640, 265], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.7, 'right': 3.7}
[2025-02-12 10:37:00] 미사일 위치: [640, 268], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.7, 'right': 3.7}
[2025-02-12 10:37:00] 미사일 위치: [640, 271], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.7, 'right': 3.7}
[2025-02-12 10:37:00] 미사일 위치: [640, 274], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.8000000000000003, 'right': 3.8000000000000003}
[2025-02-12 10:37:00] 미사일 위치: [640, 277], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.9000000000000004, 'right': 3.9000000000000004}
[2025-02-12 10:37:00] 미사일 위치: [640, 280], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -3.9000000000000004, 'right': 3.9000000000000004}
[2025-02-12 10:37:00] 미사일 위치: [640, 283], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -3.9000000000000004, 'right': 3.9000000000000004}
